StockCode,cluster
10002,0
10002R,0
10080,0
10109,0
10120,0
10123C,0
10123G,0
10124A,0
10124G,0
10125,0
10133,0
10134,0
10135,0
10138,0
11001,0
15030,0
15034,0
15036,2
15039,0
15044A,0
15044B,0
15044C,0
15044D,0
15056BL,2
15056N,2
15056P,0
15056bl,0
15056n,0
15056p,0
15058A,0
15058B,0
15058C,0
15059A,0
15060B,0
15060b,0
16008,0
16011,0
16012,0
16014,0
16015,0
16016,0
16020C,0
16033,0
16043,0
16044,0
16045,0
16048,0
16049,0
16050,0
16051,0
16052,0
16053,0
16054,0
16119,0
16151A,0
16156L,0
16156N,0
16156S,0
16161C,0
16161E,0
16161G,0
16161M,0
16161P,0
16161U,0
16162L,0
16162M,0
16168M,0
16168S,0
16169C,0
16169D,0
16169E,0
16169F,0
16169G,0
16169K,0
16169M,0
16169N,0
16169P,0
16192,0
16201A,0
16201B,0
16202A,0
16202B,0
16202C,0
16202E,0
16206B,0
16207A,0
16207B,0
16212,0
16215,0
16216,0
16218,0
16219,0
16225,0
16235,0
16236,0
16237,0
16238,0
16239,0
16243B,0
16244A,0
16244B,0
16245A,0
16248B,0
16254,0
16256B,0
16256C,0
16258A,0
16258B,0
16259,0
17001,0
17003,0
17007B,0
17011A,0
17011B,0
17011C,0
17011D,0
17011E,0
17011F,0
17012A,0
17012B,0
17012C,0
17012D,0
17012E,0
17012F,0
17013B,0
17013C,0
17013D,0
17013F,0
17014A,0
17014C,0
17014D,0
17014E,0
17014F,0
17021,0
17027A,0
17028J,0
17033,0
17038,0
17039,0
17061,0
17084A,0
17084G,0
17084J,0
17084N,0
17084P,0
17084R,0
17090A,0
17090D,0
17091A,0
17091B,0
17091F,0
17091J,0
17096,0
17107D,0
17108D,0
17109A,0
17109B,0
17109C,0
17109D,0
17129C,0
17129D,0
17129F,0
17136A,0
17164B,0
17164D,0
17165B,0
17165D,0
17174,0
17178,0
17181,0
17191A,0
18007,0
18010,0
18094C,0
18096C,0
18096c,0
18097A,0
18097B,0
18097C,0
18098A,0
18098B,0
18098C,0
18098c,0
20615,0
20616,0
20617,0
20618,0
20619,0
20620,0
20621,0
20622,0
20652,0
20653,0
20654,0
20655,0
20657,0
20658,0
20659,0
20660,0
20661,0
20662,0
20663,0
20664,0
20665,0
20666,0
20667,0
20668,0
20669,0
20670,0
20671,0
20672,0
20673,0
20674,0
20675,0
20676,0
20677,0
20679,2
20680,0
20681,0
20682,0
20684,0
20685,2
20686,0
20688,0
20689,0
20692,0
20693,0
20694,0
20695,0
20696,0
20697,0
20698,0
20699,0
20700,0
20701,0
20702,0
20703,0
20704,0
20705,0
20707,0
20711,2
20712,2
20713,2
20714,0
20716,0
20717,0
20718,0
20719,0
20723,0
20724,0
20725,2
20726,2
20727,2
20728,2
20729,0
20730,0
20731,0
20733,0
20734,0
20735,0
20736,0
20737,0
20738,0
20747,0
20748,0
20749,2
20750,0
20751,0
20752,0
20753,0
20754,0
20755,0
20756,0
20757,0
20758,0
20759,0
20760,0
20761,0
20762,0
20763,0
20764,0
20765,0
20766,0
20767,0
20768,0
20769,0
20770,0
20771,0
20772,0
20773,0
20774,0
20775,0
20776,0
20777,0
20778,0
20780,0
20781,0
20782,0
20783,0
20784,0
20785,0
20786,0
20787,0
20793,0
20794,0
20795,0
20796,0
20798,0
20799,0
20800,0
20801,0
20802,0
20803,0
20804,0
20812,0
20814,0
20816,0
20818,0
20819,0
20820,0
20821,0
20823,0
20825,0
20826,0
20827,0
20828,0
20829,0
20830,0
20831,0
20832,0
20833,0
20835,0
20836,0
20837,0
20838,0
20839,0
20840,0
20845,0
20846,0
20847,0
20848,0
20849,0
20850,0
20851,0
20854,0
20855,0
20856,0
20857,0
20858,0
20860,0
20861,0
20862,0
20863,0
20864,0
20865,0
20866,0
20867,0
20868,0
20869,0
20870,0
20871,0
20877,0
20878,0
20879,0
20881,0
20882,0
20884,0
20886,0
20887,0
20888,0
20889,0
20890,0
20892,0
20893,0
20894,0
20895,0
20896,0
20897,0
20898,0
20899,0
20901,0
20902,0
20903,0
20905,0
20906,0
20910,0
20913,0
20914,2
20931,0
20932,0
20933,0
20934,0
20935,0
20936,0
20939,0
20940,0
20941,0
20942,0
20943,0
20950,0
20952,0
20953,0
20956,0
20957,0
20958,0
20960,0
20961,0
20963,0
20964,0
20966,0
20967,0
20968,0
20969,0
20970,0
20971,0
20972,0
20973,0
20974,0
20975,0
20976,0
20977,0
20978,0
20979,0
20980,0
20981,0
20982,0
20983,0
20984,0
20985,0
20986,0
20987,0
20988,0
20989,0
20990,0
20991,0
20992,0
20993,0
20994,0
20996,0
20997,0
20998,0
21000,0
21001,0
21002,0
21003,0
21004,0
21007,0
21008,0
21009,0
21010,0
21011,0
21012,0
21014,0
21015,0
21016,0
21017,0
21018,0
21025,0
21026,0
21027,0
21028,0
21030,0
21031,0
21032,0
21033,0
21034,0
21035,0
21036,0
21038,0
21039,0
21040,0
21041,0
21042,0
21043,0
21051,0
21054,0
21055,0
21056,0
21058,0
21059,0
21060,0
21061,0
